Month,Year,Region,Volume
May,2017,LosAngeles,480.45728
Aug,2016,LosAngeles,480.40481
Jan,2016,GreatLakes,478.83975
Mar,2018,Southeast,478.0318
Jan,2017,LosAngeles,476.7652
Nov,2015,California,475.39447
Mar,2018,LosAngeles,472.84702
May,2019,Midsouth,470.004
Jun,2016,SouthCentral,466.41286
May,2019,Great Lakes,466.053
Jun,2015,California,464.55092
May,2019,South Central,463.55
Aug,2015,California,463.44393
Aug,2015,GreatLakes,462.09866
Nov,2016,California,460.57548
Mar,2016,GreatLakes,458.61898
Apr,2016,Midsouth,455.81213
Jun,2017,LosAngeles,454.30694
Jun,2016,Midsouth,452.27167
Jul,2015,California,452.11759
Sep,2017,SouthCentral,450.61132
Mar,2017,NewYork,450.01667
Apr,2016,LosAngeles,450.00415
Dec,2017,Seattle,449.19298
Dec,2016,Northeast,446.93662
Feb,2017,LosAngeles,446.17105
Jan,2017,Midsouth,443.48903
Jul,2017,LosAngeles,442.66698
Nov,2016,Midsouth,441.57988
Mar,2016,Northeast,436.36431
Mar,2019,Seattle,434.03818
Mar,2016,LosAngeles,433.35321
Jan,2016,Northeast,432.79657
Jun,2016,Northeast,429.38444
Jun,2017,NewYork,429.34282
Jun,2016,LosAngeles,428.62443
Jan,2019,Los Angeles,427.64624
Jul,2017,Southeast,425.59369
Nov,2017,SouthCentral,424.00819
Feb,2019,New York,423.41796
Feb,2018,Southeast,419.4639
Jan,2018,Southeast,418.31158
Dec,2017,Southeast,416.2413
Oct,2017,Southeast,415.35544
Apr,2015,GreatLakes,409.52064
Feb,2019,Los Angeles,409.09331
Apr,2016,SouthCentral,407.16085
Dec,2016,SouthCentral,397.81822
Apr,2019,Seattle,395.80064
Dec,2017,NewYork,395.24828
Feb,2016,GreatLakes,395.10594
Jan,2019,Southeast,394.15732
Oct,2016,Northeast,390.88339
Feb,2016,LosAngeles,390.51973
Apr,2017,Plains,389.58004
Dec,2015,California,388.18711
Jan,2018,LosAngeles,385.60951
Jun,2017,Southeast,381.59021
Feb,2016,Northeast,377.20822
Nov,2016,Northeast,376.48641
Mar,2019,Plains,375.11384
Jul,2016,Southeast,375.06968
Feb,2019,Southeast,374.39858
Feb,2018,LosAngeles,373.08321
May,2017,Denver,372.63582
Feb,2018,Seattle,371.74216
Jan,2016,LosAngeles,367.92767
Mar,2018,Seattle,367.48363
Aug,2015,Midsouth,364.07754
Jul,2017,NewYork,362.56803
Sep,2015,California,359.19641
Jan,2019,Plains,356.50418
Dec,2017,LosAngeles,354.2658
Sep,2016,LosAngeles,353.20029
Nov,2015,GreatLakes,352.18553
Apr,2016,Denver,350.87635
Aug,2015,SouthCentral,347.85505
Jan,2019,Seattle,346.32132
Jul,2015,GreatLakes,343.3065
Jan,2016,Midsouth,342.97424
Aug,2016,Northeast,341.97631
Mar,2016,Midsouth,341.84064
Oct,2017,NewYork,341.18594
Apr,2017,Southeast,340.43423
May,2016,Denver,339.92978
Jan,2018,NewYork,337.41119
Mar,2016,SouthCentral,337.31011
Feb,2019,Plains,335.1472
Mar,2015,SouthCentral,334.72091
May,2015,Northeast,332.62606
Jan,2019,Chicago,331.88468
Nov,2017,Southeast,329.76013
Oct,2015,California,329.47317
Jan,2016,SouthCentral,327.18354
Aug,2017,NewYork,326.52526
Sep,2015,GreatLakes,325.57825
Feb,2019,Chicago,325.5126
Mar,2015,GreatLakes,322.04869
Dec,2016,Midsouth,320.02981
Oct,2017,LosAngeles,317.77878
Sep,2017,Southeast,317.52632
Mar,2015,Midsouth,317.19748
Sep,2017,NewYork,313.65128
Feb,2016,SouthCentral,312.02499
Apr,2015,Midsouth,311.87545
May,2017,Southeast,310.64387
Mar,2017,Plains,309.15027
Aug,2017,Southeast,307.38466
Apr,2017,Denver,307.35582
Jun,2015,GreatLakes,307.10106
May,2017,NewYork,306.47957
Dec,2016,LosAngeles,303.01401
Jul,2017,Plains,301.6436
May,2015,Denver,301.61407
May,2016,Southeast,300.37307
Mar,2019,Chicago,299.36194
Apr,2017,Seattle,296.43067
Mar,2017,Seattle,296.20216
May,2019,Plains,295.308
May,2017,Plains,295.13041
Jun,2015,Midsouth,294.99525
Dec,2015,Northeast,293.4232
Oct,2015,GreatLakes,292.63443
Mar,2018,Plains,290.75218
Jun,2017,Plains,289.71427
Oct,2016,LosAngeles,289.35082
Mar,2016,Denver,289.12378
Feb,2015,SouthCentral,288.74302
Aug,2016,Southeast,288.59869
Mar,2017,Southeast,287.74808
Jan,2017,Southeast,287.73433
Feb,2019,Seattle,286.72204
Jul,2015,Midsouth,282.20793
Feb,2018,Plains,281.06779
Feb,2015,Midsouth,280.70474
Oct,2017,Plains,280.06948
Aug,2017,LosAngeles,278.26714
Apr,2017,Chicago,278.11549
Nov,2017,NewYork,277.43661
Feb,2017,Southeast,277.42254
Apr,2015,SouthCentral,277.04837
Dec,2017,Plains,275.80243
Jun,2016,Southeast,275.12791
Apr,2019,Plains,274.93585
May,2019,Los Angeles,274.044
Sep,2017,LosAngeles,273.65121
Apr,2019,Southeast,273.5844
Jan,2017,Plains,273.40284
Nov,2015,SouthCentral,270.04899
May,2015,SouthCentral,269.95899
Dec,2015,GreatLakes,266.28941
Aug,2015,Northeast,262.92215
Aug,2017,Plains,262.01529
Apr,2016,Seattle,261.62416
Sep,2015,SouthCentral,261.34227
Nov,2015,Northeast,260.11006
Oct,2017,BaltimoreWashington,257.40816
Nov,2017,LosAngeles,257.03624
Oct,2016,Southeast,256.62233
Feb,2016,Midsouth,255.96167
Mar,2019,Baltimore/Washington,255.79749
Jul,2016,Plains,255.3324
Nov,2016,LosAngeles,255.10707
Jan,2016,Southeast,252.33323
Mar,2015,Northeast,251.0928
Apr,2017,Portland,249.85489
Jan,2018,Plains,248.35317
May,2016,Seattle,245.6341
Oct,2015,SouthCentral,245.18881
Feb,2015,Northeast,243.96239
Sep,2017,BaltimoreWashington,243.93742
Sep,2015,Midsouth,243.72501
Nov,2016,Southeast,242.64536
Jul,2015,SouthCentral,242.25952
Nov,2015,Midsouth,241.35454
Feb,2017,Plains,239.98483
Nov,2015,LosAngeles,239.33874
May,2016,Plains,238.91399
Mar,2015,Portland,238.45698
Jan,2015,GreatLakes,237.23017
Feb,2015,GreatLakes,236.59984
May,2019,New York,236.422
Apr,2015,Northeast,235.89651
Mar,2015,Denver,234.20604
Mar,2017,Denver,233.85544
Sep,2016,Southeast,233.74598
Aug,2016,DallasFtWorth,231.81547
Jan,2015,Midsouth,231.04036
Jan,2015,SouthCentral,231.0278
May,2019,Seattle,230.904
Jan,2018,BaltimoreWashington,230.58927
Jan,2019,Baltimore/Washington,229.21952
Jan,2016,Plains,228.75973
Jun,2015,Northeast,228.50863
Mar,2019,San Francisco,228.1076
Oct,2015,Midsouth,226.74351
Jan,2017,Seattle,226.16333
Apr,2017,Houston,225.13628
Apr,2016,Southeast,224.05407
Mar,2019,Denver,223.92719
May,2015,LosAngeles,222.83136
May,2016,WestTexNewMexico,222.46346
May,2017,Seattle,220.27489
Dec,2015,SouthCentral,220.24464
Jan,2017,NewYork,219.90787
Oct,2015,Northeast,216.64618
Jan,2016,Denver,216.60349
Jun,2016,Plains,216.26355
Mar,2016,Seattle,215.30262
Sep,2017,Plains,214.20572
Dec,2016,Southeast,212.5505
Aug,2016,Plains,212.33622
May,2017,Portland,212.10672
Mar,2015,LosAngeles,211.74265
Jun,2015,SouthCentral,211.6168
May,2016,Chicago,209.20832
Apr,2016,Plains,208.7119
May,2016,NewYork,208.20407
Apr,2015,Denver,207.20545
Feb,2019,Baltimore/Washington,207.0606
Aug,2015,LosAngeles,206.60752
Mar,2015,Seattle,206.1867
Jul,2016,NewYork,205.56991
May,2016,Portland,205.20713
Mar,2017,Portland,205.08367
Jan,2018,Seattle,204.96836
Mar,2017,Houston,203.98932
Sep,2015,Northeast,203.3743
Mar,2015,Southeast,201.86564
Feb,2019,San Francisco,201.23684
Dec,2015,LosAngeles,200.61766
Jun,2017,Seattle,200.53336
Mar,2019,Portland,200.03123
Jul,2017,Houston,199.50794
Nov,2015,Seattle,196.7964
Jan,2015,LosAngeles,196.45536
Oct,2016,Plains,196.31999
Nov,2017,Plains,196.10415
Mar,2019,Houston,196.01981
Jan,2017,Chicago,195.85414
Jan,2017,Portland,195.5227
Mar,2016,Portland,195.23953
Mar,2018,BaltimoreWashington,194.45696
Sep,2016,NewYork,192.74223
May,2015,Seattle,192.70719
Dec,2016,Seattle,191.97043
Nov,2016,Plains,191.60953
Dec,2017,BaltimoreWashington,191.26913
Mar,2016,Southeast,190.96007
Oct,2016,Houston,190.51417
Jul,2016,Seattle,189.49693
May,2016,SanFrancisco,189.32959
Nov,2015,Denver,188.76095
Jul,2017,Chicago,188.56082
Sep,2016,Plains,188.08372
Apr,2019,Portland,188.066
Oct,2017,Chicago,187.34015
Feb,2018,BaltimoreWashington,186.9572
Mar,2019,Dallas/Ft. Worth,185.97608
Dec,2015,Midsouth,185.45679
Aug,2015,Seattle,185.43686
Feb,2015,LosAngeles,183.59554
Jun,2017,Houston,183.25741
Mar,2019,Philadelphia,181.69127
Jul,2015,LosAngeles,181.54171
Jun,2015,LosAngeles,180.17785
Jul,2015,Northeast,179.21299
Feb,2016,Plains,177.40873
Apr,2015,LosAngeles,177.17173
May,2017,Chicago,176.7582
Mar,2019,Northern New England,176.38022
Nov,2015,Portland,176.22388
Dec,2017,Chicago,175.88662
Mar,2017,Chicago,175.38889
Mar,2015,Plains,175.20349
Apr,2016,Portland,174.68352
Sep,2016,Houston,174.38965
Jan,2015,Northeast,174.02286
Mar,2019,Boston,173.07643
Jul,2017,BaltimoreWashington,172.50356
Mar,2016,Plains,172.13794
Feb,2016,Seattle,172.05209
May,2019,Southeast,171.717
Dec,2016,Plains,171.24927
Apr,2015,Chicago,168.83222
Apr,2016,NewYork,168.38614
Sep,2015,LosAngeles,167.85841
Apr,2019,Dallas/Ft. Worth,167.66603
Feb,2015,Seattle,167.4712
Apr,2015,Seattle,167.36145
Dec,2016,NewYork,166.81076
Aug,2015,Plains,165.89549
Aug,2015,Southeast,165.47071
Jun,2017,Portland,164.82991
Jan,2016,Seattle,164.54489
Apr,2019,Baltimore/Washington,164.32848
Jan,2018,Chicago,163.98875
Oct,2017,Boston,163.56485
Aug,2017,BaltimoreWashington,162.89488
Dec,2016,Chicago,162.79801
Jun,2017,Chicago,162.09321
Aug,2015,Denver,161.63781
Feb,2017,Chicago,161.55746
Mar,2018,Detroit,160.91217
Jan,2019,Philadelphia,160.7061
Apr,2015,Portland,159.74378
Jul,2017,Portland,159.60983
Oct,2017,Philadelphia,159.6094
Jan,2017,Denver,159.16304
Jan,2015,Portland,158.81161
Mar,2018,Chicago,158.62694
Apr,2019,Chicago,158.53745
Jan,2019,Northern New England,158.28569
Apr,2019,Denver,158.24074
Feb,2015,Plains,156.88022
Feb,2017,Seattle,156.86823
Jul,2017,Seattle,156.25028
Feb,2018,Chicago,155.27024
Feb,2015,Southeast,154.99155
Jan,2015,Seattle,154.4539
Feb,2018,Philadelphia,154.35243
Dec,2017,Portland,154.12882
Jun,2016,Seattle,153.95294
Dec,2016,Portland,153.3062
May,2015,Plains,152.83503
May,2017,Houston,152.37721
May,2015,Southeast,152.2019
Jul,2016,Portland,152.16775
Jul,2016,DallasFtWorth,151.98939
Feb,2015,Portland,151.72271
Feb,2019,Philadelphia,151.01801
Feb,2016,Southeast,150.64033
Feb,2017,Houston,150.29302
Jun,2015,Seattle,149.62949
Nov,2015,Plains,149.41543
Jun,2016,Chicago,148.53717
May,2015,Portland,148.33729
May,2015,SanFrancisco,148.09764
Feb,2015,SanFrancisco,147.56863
Aug,2015,Chicago,147.49024
Nov,2016,Houston,147.05247
Oct,2016,Chicago,145.91959
Oct,2015,LosAngeles,145.04299
Mar,2016,NewYork,142.78256
Mar,2018,Philadelphia,141.36772
Jan,2019,Boston,141.21167
Nov,2015,Southeast,140.92315
Nov,2016,Seattle,140.8354
Feb,2017,Denver,140.82827
Mar,2015,SanFrancisco,140.78668
Jun,2016,Portland,140.43297
Jan,2016,Chicago,139.68763
Jul,2017,DallasFtWorth,139.03309
Jan,2019,San Francisco,138.80985
Jan,2019,Portland,138.21649
Feb,2017,CincinnatiDayton,137.78639
Apr,2019,Houston,137.23989
Apr,2019,Philadelphia,136.95624
Mar,2018,Houston,136.76993
Jun,2016,NewYork,136.61493
Apr,2019,San Francisco,136.24455
Feb,2019,Dallas/Ft. Worth,135.36568
May,2019,Chicago,135.053
Oct,2017,Seattle,134.77181
Jul,2015,Southeast,134.75916
Aug,2016,Houston,134.57247
Feb,2019,Portland,134.4918
Jun,2015,Plains,134.38502
Aug,2015,Portland,134.06968
Mar,2016,Chicago,133.90167
Jan,2018,Denver,133.86513
Mar,2017,Detroit,133.21443
Dec,2015,Portland,132.94557
Apr,2017,DallasFtWorth,132.71779
Jul,2016,Denver,132.57843
Jul,2015,Seattle,132.25168
Dec,2017,Houston,131.87053
Jan,2015,Plains,131.68565
Apr,2016,Chicago,131.67493
Jan,2019,Dallas/Ft. Worth,131.46509
Mar,2019,West Tex/New Mexico,131.16645
Nov,2016,NewYork,131.1355
Jan,2016,Portland,130.57553
Nov,2017,Chicago,130.44485
Jul,2015,Plains,130.40223
Dec,2017,Denver,130.22409
Feb,2016,Denver,130.18477
Nov,2017,BaltimoreWashington,130.15423
Jul,2016,SanFrancisco,130.10119
Jan,2017,Houston,129.93016
Jan,2016,NewYork,129.04838
Apr,2019,Boston,128.72706
Jul,2015,Portland,128.56959
Sep,2016,Seattle,127.67983
Mar,2018,Boston,127.61843
Apr,2015,Southeast,127.60136
Jun,2015,Denver,127.4662
Feb,2019,Boston,127.39362
May,2016,DallasFtWorth,127.14235
Apr,2015,Plains,127.12823
Mar,2017,CincinnatiDayton,127.00524
Feb,2019,Houston,127.00346
Sep,2017,Philadelphia,126.55978
Feb,2016,Chicago,126.31365
Feb,2019,Northern New England,126.19242
May,2017,DallasFtWorth,125.9255
Jan,2018,Houston,125.52801
Mar,2018,DallasFtWorth,125.37533
Oct,2017,NorthernNewEngland,124.92802
Jun,2015,Portland,124.40997
Mar,2018,SanFrancisco,124.3302
Apr,2017,WestTexNewMexico,123.98944
Oct,2015,Southeast,123.98362
Dec,2017,Boston,123.47235
Nov,2015,Chicago,122.72098
Jun,2017,DallasFtWorth,122.5864
Dec,2017,Philadelphia,122.40785
Sep,2016,Portland,121.8161
Oct,2015,Plains,121.44992
Jan,2018,NorthernNewEngland,121.21508
Jan,2015,SanFrancisco,120.93665
Oct,2016,Seattle,120.74997
Mar,2018,Portland,120.46408
Oct,2017,Houston,120.25106
Feb,2016,Portland,119.22785
Mar,2019,South Carolina,118.95372
Apr,2016,WestTexNewMexico,118.91371
May,2015,Chicago,118.58131
Sep,2015,Plains,118.32514
Apr,2019,Northern New England,118.19279
Jul,2017,Boston,118.18831
Feb,2018,Portland,118.02333
Feb,2017,Portland,117.98831
Jan,2015,Denver,117.90025
Dec,2016,Denver,117.74209
Feb,2016,NewYork,117.61184
Jan,2019,Houston,117.49577
Jan,2018,Boston,117.11569
May,2016,Houston,116.94492
Apr,2019,Phoenix/Tucson,116.74111
Jun,2016,DallasFtWorth,116.6841
Apr,2017,BaltimoreWashington,116.59959
Dec,2015,Denver,116.51269
Oct,2017,Denver,116.29613
Apr,2015,SanFrancisco,115.68657
Feb,2019,Denver,115.25206
Jul,2015,Denver,114.42127
Feb,2017,WestTexNewMexico,114.40027
Aug,2017,Houston,114.17151
Dec,2015,Seattle,114.14029
May,2019,San Francisco,113.996
Oct,2016,NewYork,113.73747
Aug,2016,Chicago,113.26527
Jul,2017,CincinnatiDayton,113.19086
Feb,2018,Boston,113.1902
Jun,2015,Southeast,113.06042
Nov,2017,Seattle,112.57462
Feb,2018,Denver,112.35349
Sep,2015,Denver,112.28809
Mar,2019,Harrisburg/Scranton,112.06697
Jan,2017,DallasFtWorth,111.93013
Jan,2019,Denver,111.92433
Jun,2016,SanFrancisco,110.72758
Mar,2017,WestTexNewMexico,110.33285
Sep,2017,Boston,110.25671
Apr,2017,SanFrancisco,109.69084
Jan,2018,Philadelphia,109.68421
Oct,2015,Seattle,109.6633
Feb,2017,Philadelphia,109.50004
Oct,2015,Denver,109.29037
Aug,2016,Seattle,109.13409
Feb,2017,Detroit,108.83
Sep,2016,Chicago,108.64644
Aug,2017,Seattle,108.64306
Jul,2016,Chicago,108.57176
Oct,2017,HarrisburgScranton,108.49521
Jun,2017,Atlanta,108.48213
Dec,2015,Plains,108.16397
Feb,2018,Houston,108.1611
Sep,2017,Chicago,108.0072
May,2016,BaltimoreWashington,107.92206
Mar,2017,DallasFtWorth,107.77412
May,2019,Northern New England,107.751
Mar,2019,Phoenix/Tucson,107.59623
Oct,2016,DallasFtWorth,107.2282
Sep,2015,Chicago,106.84338
Dec,2017,NorthernNewEngland,106.75894
Jan,2018,SanFrancisco,105.74433
Aug,2016,Portland,105.69326
Sep,2015,Southeast,105.59359
Jul,2016,Houston,105.41875
May,2019,Baltimore/Washington,105.398
Feb,2018,DallasFtWorth,105.04966
Apr,2017,Philadelphia,104.42557
Apr,2016,SanFrancisco,104.37615
Jan,2019,Harrisburg/Scranton,104.35503
May,2015,Roanoke,104.1304
Oct,2017,Detroit,103.59298
Jul,2017,Detroit,103.37425
Jan,2016,SanFrancisco,103.36862
Sep,2017,Seattle,103.06953
May,2019,Boston,102.688
Dec,2015,Southeast,102.63566
Nov,2017,Boston,102.51282
Sep,2017,SanFrancisco,102.45814
Aug,2016,NewYork,102.4232
Mar,2019,Atlanta,102.29834
Nov,2016,Chicago,102.2471
Nov,2016,Portland,102.14643
Jul,2016,Detroit,102.08969
Mar,2018,Denver,102.06902
Oct,2017,DallasFtWorth,102.0633
Feb,2018,NorthernNewEngland,101.85728
Dec,2017,DallasFtWorth,101.53206
Oct,2017,SanFrancisco,100.87105
Mar,2019,San Diego,100.7313
Jun,2016,Detroit,100.67093
Jan,2015,Southeast,100.60584
Mar,2016,SanFrancisco,100.40733
Jan,2018,RaleighGreensboro,100.25996
May,2015,NewYork,99.97947
May,2019,Houston,99.576
Jul,2017,Philadelphia,99.57283
Oct,2016,Detroit,98.95322
Jul,2016,WestTexNewMexico,98.92722
Mar,2018,HartfordSpringfield,97.30974
Feb,2019,Phoenix/Tucson,97.21016
Jan,2018,DallasFtWorth,97.0172
May,2016,SanDiego,96.56016
Oct,2016,Denver,96.40777
Mar,2019,Richmond/Norfolk,96.3209
Oct,2015,Portland,95.81787
Feb,2018,SanFrancisco,95.80596
May,2016,LasVegas,95.70564
Sep,2016,DallasFtWorth,95.68465
Jun,2017,BaltimoreWashington,95.24396
Jan,2018,Portland,95.04823
May,2017,BaltimoreWashington,94.87466
Feb,2015,Denver,94.78111
Jul,2017,WestTexNewMexico,94.63516
Dec,2015,Chicago,94.58851
Aug,2016,SanFrancisco,94.53069
Feb,2018,HartfordSpringfield,94.35869
Apr,2016,BaltimoreWashington,93.98726
Dec,2017,Detroit,93.94517
Sep,2016,SanFrancisco,93.76258
Jul,2016,CincinnatiDayton,93.64131
Aug,2017,Philadelphia,93.50906
Dec,2017,HarrisburgScranton,93.48643
Jan,2017,SanFrancisco,93.36016
Aug,2016,CincinnatiDayton,93.25508
Feb,2016,SanFrancisco,92.79676
Jul,2017,Atlanta,92.71636
Feb,2019,Harrisburg/Scranton,92.68482
May,2019,Portland,92.652
Jun,2017,CincinnatiDayton,92.16024
Feb,2019,West Tex/New Mexico,91.91668
Nov,2017,Philadelphia,91.8609
May,2019,Dallas/Ft. Worth,91.643
Feb,2019,South Carolina,91.53069
Nov,2016,DallasFtWorth,91.43601
Mar,2019,Hartford/Springfield,91.26595
Jan,2019,West Tex/New Mexico,91.22859
Jun,2016,Denver,91.21753
Jan,2019,Phoenix/Tucson,91.19956
Apr,2017,CincinnatiDayton,91.01866
Dec,2017,SanFrancisco,90.97027
Nov,2017,Houston,90.82971
May,2016,PhoenixTucson,90.63221
Dec,2016,Houston,90.60592
Jun,2015,SanFrancisco,90.23108
Mar,2018,CincinnatiDayton,89.99197
Sep,2017,DallasFtWorth,89.73372
Jul,2017,NorthernNewEngland,89.69426
Jun,2017,SanFrancisco,89.43213
Sep,2015,Seattle,89.26981
Mar,2015,NewYork,89.26826
Nov,2017,Portland,89.15136
Feb,2015,NewYork,88.9274
Jun,2017,Boston,88.69156
Apr,2016,DallasFtWorth,88.60645
Dec,2015,NewYork,88.53637
Jan,2017,BaltimoreWashington,88.43013
Oct,2016,BaltimoreWashington,88.32873
Jan,2016,BaltimoreWashington,88.30687
Apr,2017,Detroit,88.2056
Jul,2016,BaltimoreWashington,88.13764
May,2016,Detroit,87.90285
Jun,2017,Denver,87.85039
Nov,2017,NorthernNewEngland,87.8434
Jul,2016,SanDiego,87.83664
May,2017,SanFrancisco,87.65491
Mar,2019,Raleigh/Greensboro,87.63004
Mar,2018,SanDiego,87.39678
Apr,2017,Boston,86.63214
Jul,2017,Denver,86.3673
Aug,2017,Boston,86.27822
Apr,2017,Atlanta,86.10407
Jan,2018,Detroit,85.95218
Sep,2017,HarrisburgScranton,85.91192
Oct,2016,Portland,85.90871
Jan,2019,Richmond/Norfolk,85.51586
Apr,2019,San Diego,85.5078
May,2017,Boston,85.19743
Feb,2018,HarrisburgScranton,84.78064
Apr,2019,West Tex/New Mexico,84.53143
Jul,2015,Chicago,84.4262
Feb,2017,PhoenixTucson,84.10849
