Month,Year,Region,Volume,Type,LogVolume
Dec,2015,GreatLakes,10675143.67,conventional,7.02837372863086
Jan,2018,LosAngeles,10681757.24,conventional,7.02864270370928
Mar,2017,LosAngeles,10723701.54,conventional,7.0303447182785
Apr,2015,Midsouth,10759716.71,conventional,7.03180083704567
Oct,2015,Southeast,10925839.3,conventional,7.03845480851277
Jan,2015,Southeast,11011192.25,conventional,7.04183434527175
Nov,2015,Midsouth,11119295.94,conventional,7.04607728912974
Nov,2016,Northeast,11122704.48,conventional,7.04621039857107
Aug,2017,Midsouth,11292691.13,conventional,7.05279744977599
Sep,2017,Southeast,11334595.33,conventional,7.05440601947046
May,2016,Plains,11373130.01,conventional,7.05588000373793
Jul,2015,Midsouth,11382591.41,conventional,7.05624114667618
Aug,2016,Midsouth,11442162.19,conventional,7.05850809949701
Oct,2015,GreatLakes,11471898.2,conventional,7.0596352844731
Feb,2015,Midsouth,11543220.79,conventional,7.06232700259472
Sep,2016,Midsouth,11550007.62,conventional,7.06258227074962
Oct,2017,GreatLakes,11561820.05,conventional,7.06302620566354
Jul,2015,LosAngeles,11596469.06,conventional,7.06432577360688
Nov,2017,GreatLakes,11747671.95,conventional,7.06995181048491
Oct,2016,LosAngeles,11813812.04,conventional,7.07239005686879
Oct,2016,Midsouth,11823598.75,conventional,7.07274968292341
Apr,2016,Midsouth,11888765.65,conventional,7.07513676637466
Jun,2015,Midsouth,11906398.56,conventional,7.07578041622276
Mar,2018,LosAngeles,11964942.13,conventional,7.07791060243275
Sep,2016,LosAngeles,11967763.32,conventional,7.07801299179759
Sep,2016,GreatLakes,11992894.49,conventional,7.0789240129009
Oct,2017,Midsouth,12015325.71,conventional,7.07973554810192
Sep,2015,Southeast,12047838.75,conventional,7.08090914623595
Mar,2017,GreatLakes,12058360.92,conventional,7.08128827863521
Mar,2016,Midsouth,12146795.11,conventional,7.08446170594705
Aug,2016,GreatLakes,12199827.37,conventional,7.08635368536435
Jan,2015,GreatLakes,12385337.78,conventional,7.09290785541033
Apr,2016,LosAngeles,12404452.38,conventional,7.0935775962105
Nov,2015,LosAngeles,12491332.17,conventional,7.09660875728752
Mar,2017,Southeast,12527358.44,conventional,7.09785950388514
Jun,2017,Midsouth,12543454.91,conventional,7.09841717299321
Mar,2017,Midsouth,12552673.12,conventional,7.09873621965342
Feb,2015,LosAngeles,12554123.17,conventional,7.09878638525056
Oct,2016,GreatLakes,12564629.93,conventional,7.0991497017049
May,2019,Great Lakes,12573411,conventional,7.09945311201535
Mar,2015,Midsouth,12600721.87,conventional,7.1003954256872
Aug,2016,LosAngeles,12623016.35,conventional,7.10116314473644
Dec,2016,GreatLakes,12648448.31,conventional,7.10203725027557
Aug,2017,GreatLakes,12679962.76,conventional,7.10311797806068
Mar,2019,Plains,12718640.99,conventional,7.10444070863352
Jun,2016,Midsouth,12746807.01,conventional,7.10540141052664
Apr,2015,Southeast,12790343.08,conventional,7.10688219387291
Nov,2017,Southeast,12806247.94,conventional,7.10742190588511
Feb,2015,Southeast,12852782.96,conventional,7.10899717383951
Sep,2015,GreatLakes,12911355.93,conventional,7.11097185357506
Jun,2015,LosAngeles,12912157.59,conventional,7.11099881787751
Apr,2015,GreatLakes,12926541.14,conventional,7.11148233270972
Nov,2015,Southeast,12950880.97,conventional,7.11229931184557
Mar,2016,LosAngeles,12968869.79,conventional,7.1129021298733
Aug,2017,Southeast,13056107.89,conventional,7.11581373024542
